
---------- Begin Simulation Statistics ----------
simSeconds                                   0.087977                       # Number of seconds simulated (Second)
simTicks                                  87977376000                       # Number of ticks simulated (Tick)
finalTick                                 87977376000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2257.88                       # Real time elapsed on the host (Second)
hostTickRate                                 38964530                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     666544                       # Number of bytes of host memory used (Byte)
simInsts                                    172916971                       # Number of instructions simulated (Count)
simOps                                      263412208                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76584                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     116663                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        175954753                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       520382109                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      392180644                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 204433                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            256969902                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         586990991                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           175890570                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.229685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.028779                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     61.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead    125060247     31.89%     93.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     25472942      6.50%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         1052      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         1851      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      392180644                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.228872                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             8059401                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.020550                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                968495669                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               777344303                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       380498385                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     20023                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    17068                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             8926                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   398918403                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        10049                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                         385818130                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     122082810                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   6362514                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                          146284432                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       23587530                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     24201622                       # Number of stores executed (Count)
system.cpu.numRate                           2.192712                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            1453                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           64183                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   172916971                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     263412208                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.017568                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.017568                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.982735                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.982735                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  439580244                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 316554491                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       14566                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                       6908                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                    86450455                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  111227455                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 207107394                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads      167300517                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      38852009                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads    105481948                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     22827973                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                45356375                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          35889347                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           3471893                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             27856606                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              1617355                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                27854016                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999907                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 2124144                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect               2840                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            2060                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               1593                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              467                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          138                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       256964314                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts           3471636                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    141925495                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.855989                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.434609                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        52637476     37.09%     37.09% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        36478941     25.70%     62.79% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        19581060     13.80%     76.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         8706641      6.13%     82.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4         5329029      3.75%     86.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         2898155      2.04%     88.52% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6         2028464      1.43%     89.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          452283      0.32%     90.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8        13813446      9.73%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    141925495                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            172916971                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              263412208                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    99052922                       # Number of memory references committed (Count)
system.cpu.commit.loads                      79726499                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   18226474                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                       6174                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   262017643                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                945255                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass       946295      0.36%      0.36% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    161907659     61.47%     61.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult      1500505      0.57%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv          721      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          344      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     62.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          896      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt          846      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc         2020      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     62.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     62.40% # Class of committed instruction (Count)
